"Geographic Area Name (NAME)","2012 NAICS code (NAICS2012)","Meaning of NAICS code (NAICS2012_LABEL)","Meaning of Legal form of organization code (LFO_LABEL)","Meaning of Employment size of establishments (EMPSZES_LABEL)","Year (YEAR)","Number of establishments (ESTAB)","Paid employees for pay period including March 12 (number) (EMP)","First-quarter payroll ($1,000) (PAYQTR1)","Annual payroll ($1,000) (PAYANN)"
"Kentucky","722511","Full-service restaurants","S-corporations","Establishments with 5 to 9 employees","2016","219","1,464","5,588","23,452"
"Kentucky","722511","Full-service restaurants","All establishments","Establishments with 10 to 19 employees","2016","506","7,039","24,134","102,599"
"Kentucky","722511","Full-service restaurants","Corporations","Establishments with 10 to 19 employees","2016","83","1,194","5,192","22,535"
"Kentucky","722511","Full-service restaurants","Other noncorporate legal forms of organization","Establishments with 10 to 19 employees","2016","0","0","0","0"
"Kentucky","722511","Full-service restaurants","Non-profit","Establishments with 10 to 19 employees","2016","0","0","0","0"
"Kentucky","722511","Full-service restaurants","Partnerships","Establishments with 10 to 19 employees","2016","88","1,198","3,773","15,719"
"Kentucky","722511","Full-service restaurants","Individual proprietorships","Establishments with 10 to 19 employees","2016","64","876","2,014","9,068"
"Kentucky","722511","Full-service restaurants","S-corporations","Establishments with 10 to 19 employees","2016","271","3,771","13,155","55,277"
"Kentucky","722511","Full-service restaurants","Non-profit","Establishments with 20 to 49 employees","2016","0","0","0","0"
"Kentucky","722511","Full-service restaurants","Other noncorporate legal forms of organization","Establishments with 20 to 49 employees","2016","0","0","0","0"
"Kentucky","722511","Full-service restaurants","Partnerships","Establishments with 20 to 49 employees","2016","137","4,314","15,362","64,721"
"Kentucky","722511","Full-service restaurants","Individual proprietorships","Establishments with 20 to 49 employees","2016","40","1,146","3,776","16,240"
"Kentucky","722511","Full-service restaurants","S-corporations","Establishments with 20 to 49 employees","2016","372","11,055","38,406","164,969"
"Kentucky","722511","Full-service restaurants","Corporations","Establishments with 20 to 49 employees","2016","145","5,105","18,864","80,240"
"Kentucky","722511","Full-service restaurants","All establishments","Establishments with 20 to 49 employees","2016","694","21,620","76,408","326,170"
"Kentucky","722511","Full-service restaurants","S-corporations","Establishments with 50 to 99 employees","2016","88","5,697","21,129","87,857"
"Kentucky","722511","Full-service restaurants","Other noncorporate legal forms of organization","Establishments with 50 to 99 employees","2016","2","100 to 249 employees","D","D"
"Kentucky","722511","Full-service restaurants","All establishments","Establishments with 50 to 99 employees","2016","357","23,752","90,237","370,184"
"Kentucky","722511","Full-service restaurants","Corporations","Establishments with 50 to 99 employees","2016","165","11,121","44,068","176,888"
"Kentucky","722511","Full-service restaurants","Individual proprietorships","Establishments with 50 to 99 employees","2016","16","1,193","4,296","17,072"
"Kentucky","722511","Full-service restaurants","Partnerships","Establishments with 50 to 99 employees","2016","85","5,543","19,878","84,578"
"Kentucky","722511","Full-service restaurants","Non-profit","Establishments with 50 to 99 employees","2016","1","20 to 99 employees","D","D"
"Kentucky","722511","Full-service restaurants","Non-profit","Establishments with 100 to 249 employees","2016","0","0","0","0"
"Kentucky","722511","Full-service restaurants","Corporations","Establishments with 100 to 249 employees","2016","43","4,834","18,766","79,552"
"Kentucky","722511","Full-service restaurants","Other noncorporate legal forms of organization","Establishments with 100 to 249 employees","2016","0","0","0","0"
"Kentucky","722511","Full-service restaurants","S-corporations","Establishments with 100 to 249 employees","2016","13","1,661","6,657","28,961"
"Kentucky","722511","Full-service restaurants","Individual proprietorships","Establishments with 100 to 249 employees","2016","2","100 to 249 employees","D","D"
"Kentucky","722511","Full-service restaurants","Partnerships","Establishments with 100 to 249 employees","2016","26","3,346","10,900","49,296"
"Kentucky","722511","Full-service restaurants","All establishments","Establishments with 100 to 249 employees","2016","84","10,066","37,225","161,203"
"Kentucky","722511","Full-service restaurants","Partnerships","Establishments with 250 to 499 employees","2016","1","250 to 499 employees","D","D"
"Kentucky","722511","Full-service restaurants","All establishments","Establishments with 250 to 499 employees","2016","1","250 to 499 employees","D","D"
"Kentucky","722511","Full-service restaurants","Individual proprietorships","Establishments with 250 to 499 employees","2016","0","0","0","0"
"Kentucky","722511","Full-service restaurants","S-corporations","Establishments with 250 to 499 employees","2016","0","0","0","0"
"Kentucky","722511","Full-service restaurants","Corporations","Establishments with 250 to 499 employees","2016","0","0","0","0"
"Kentucky","722511","Full-service restaurants","Other noncorporate legal forms of organization","Establishments with 250 to 499 employees","2016","0","0","0","0"
"Kentucky","722511","Full-service restaurants","Non-profit","Establishments with 250 to 499 employees","2016","0","0","0","0"
"Kentucky","722511","Full-service restaurants","S-corporations","Establishments with 500 to 999 employees","2016","0","0","0","0"
"Kentucky","722511","Full-service restaurants","Corporations","Establishments with 500 to 999 employees","2016","0","0","0","0"
"Kentucky","722511","Full-service restaurants","Non-profit","Establishments with 500 to 999 employees","2016","0","0","0","0"
"Kentucky","722511","Full-service restaurants","Other noncorporate legal forms of organization","Establishments with 500 to 999 employees","2016","0","0","0","0"
"Kentucky","722511","Full-service restaurants","All establishments","Establishments with 500 to 999 employees","2016","0","0","0","0"
"Kentucky","722511","Full-service restaurants","Individual proprietorships","Establishments with 500 to 999 employees","2016","0","0","0","0"
"Kentucky","722511","Full-service restaurants","Partnerships","Establishments with 500 to 999 employees","2016","0","0","0","0"
"Kentucky","722511","Full-service restaurants","S-corporations","Establishments with 1,000 employees or more","2016","0","0","0","0"
"Kentucky","722511","Full-service restaurants","Corporations","Establishments with 1,000 employees or more","2016","0","0","0","0"
"Kentucky","722511","Full-service restaurants","Individual proprietorships","Establishments with 1,000 employees or more","2016","0","0","0","0"
"Kentucky","722511","Full-service restaurants","Other noncorporate legal forms of organization","Establishments with 1,000 employees or more","2016","0","0","0","0"
"Kentucky","722511","Full-service restaurants","Partnerships","Establishments with 1,000 employees or more","2016","0","0","0","0"
"Kentucky","722511","Full-service restaurants","All establishments","Establishments with 1,000 employees or more","2016","0","0","0","0"
"Kentucky","722511","Full-service restaurants","Non-profit","Establishments with 1,000 employees or more","2016","0","0","0","0"
"Louisiana","722511","Full-service restaurants","Non-profit","All establishments","2016","2","20 to 99 employees","D","D"
"Louisiana","722511","Full-service restaurants","All establishments","All establishments","2016","2,893","77,016","328,614","1,355,373"
"Louisiana","722511","Full-service restaurants","Individual proprietorships","All establishments","2016","392","5,048","17,087","71,557"
"Louisiana","722511","Full-service restaurants","S-corporations","All establishments","2016","1,069","29,092","128,796","526,111"
"Louisiana","722511","Full-service restaurants","Corporations","All establishments","2016","567","19,435","84,885","344,660"
"Louisiana","722511","Full-service restaurants","Partnerships","All establishments","2016","863","23,393","97,463","411,499"
"Louisiana","722511","Full-service restaurants","Corporations","Establishments with 1 to 4 employees","2016","110","211","837","6,935"
"Louisiana","722511","Full-service restaurants","Partnerships","Establishments with 1 to 4 employees","2016","220","298","1,250","19,455"
"Louisiana","722511","Full-service restaurants","Non-profit","Establishments with 1 to 4 employees","2016","0","0","0","0"
"Louisiana","722511","Full-service restaurants","All establishments","Establishments with 1 to 4 employees","2016","661","1,043","4,324","45,091"
"Louisiana","722511","Full-service restaurants","S-corporations","Establishments with 1 to 4 employees","2016","172","303","1,464","11,316"
"Louisiana","722511","Full-service restaurants","Individual proprietorships","Establishments with 1 to 4 employees","2016","159","231","773","7,385"
"Louisiana","722511","Full-service restaurants","Individual proprietorships","Establishments with 5 to 9 employees","2016","87","617","1,757","6,851"
"Louisiana","722511","Full-service restaurants","S-corporations","Establishments with 5 to 9 employees","2016","137","936","3,809","15,612"
"Louisiana","722511","Full-service restaurants","Partnerships","Establishments with 5 to 9 employees","2016","89","617","1,964","7,693"
"Louisiana","722511","Full-service restaurants","Corporations","Establishments with 5 to 9 employees","2016","69","465","1,709","7,949"
"Louisiana","722511","Full-service restaurants","Non-profit","Establishments with 5 to 9 employees","2016","0","0","0","0"
"Louisiana","722511","Full-service restaurants","All establishments","Establishments with 5 to 9 employees","2016","382","2,635","9,239","38,105"
"Louisiana","722511","Full-service restaurants","Corporations","Establishments with 10 to 19 employees","2016","92","1,318","4,675","18,769"
"Louisiana","722511","Full-service restaurants","All establishments","Establishments with 10 to 19 employees","2016","608","8,698","33,702","139,424"
"Louisiana","722511","Full-service restaurants","S-corporations","Establishments with 10 to 19 employees","2016","252","3,561","14,937","62,610"
